file,line,kind,type,lhs,placement_new,bare_stmt,code
ho/WebServer_MigrationTool.cpp,200,malloc,,auth_hdr,False,False,char* auth_hdr = (char*)malloc(hdr_len + 1);
ho/WebServer_MigrationTool.cpp,315,malloc,,buf,False,False,char* buf = (char*)malloc(jsonLen + 1);
ho/WebServer_MigrationTool.cpp,365,heap_caps_calloc,,buf,False,False,"char* buf = (char*)heap_caps_calloc(req->content_len + 1, 1, MALLOC_CAP_SPIRAM | MALLOC_CAP_8BIT);"
ho/WebServer_MigrationTool.cpp,367,heap_caps_calloc,,buf,False,False,"buf = (char*)heap_caps_calloc(req->content_len + 1, 1, MALLOC_CAP_DEFAULT);"
ho/WebServer_Server.cpp,1287,malloc,,buf,False,False,char* buf = (char*)malloc(bufLen);
ho/WebServer_Server.cpp,4124,heap_caps_malloc,,buf,False,False,"char* buf = (char*)heap_caps_malloc(fileSize,"
ho/WebServer_Server.cpp,4126,malloc,,buf,False,False,if (!buf) buf = (char*)malloc(fileSize);
ho/WebServer_Server.cpp,4290,malloc,,tmp,False,False,uint8_t* tmp = (uint8_t*)malloc(pngSize);
ho/i2csensor_ano_encoder.cpp,153,new,Adafruit_seesaw,gAnoSeesaw,False,False,gAnoSeesaw = new Adafruit_seesaw(wire);
ho/i2csensor_apds9960.cpp,310,new,Adafruit_APDS9960,gAPDS9960,False,False,gAPDS9960 = new Adafruit_APDS9960();
ho/i2csensor_bno055.cpp,389,new,Adafruit_BNO055,gBNO055,False,False,"gBNO055 = new Adafruit_BNO055(55, addr, &Wire1);"
ho/i2csensor_mlx90640.cpp,463,new,Adafruit_MLX90640,gMLX90640,False,False,gMLX90640 = new Adafruit_MLX90640();
ho/i2csensor_pa1010d.cpp,115,new,Adafruit_GPS,gPA1010D,False,False,gPA1010D = new Adafruit_GPS(gpsWire);
ho/i2csensor_pca9685.cpp,37,new,Adafruit_PWMServoDriver,gPwmDriver,False,False,"gPwmDriver = new Adafruit_PWMServoDriver(PCA9685_I2C_ADDRESS, Wire1);"
ho/i2csensor_seesaw.cpp,197,new,Adafruit_seesaw,gGamepadSeesaw,False,False,gGamepadSeesaw = new Adafruit_seesaw(gpWire);
ho/i2csensor_seesaw.cpp,283,new,Adafruit_seesaw,gGamepadSeesaw,False,False,gGamepadSeesaw = new Adafruit_seesaw(gpWire);
ho/i2csensor_vl53l4cx.cpp,335,new,VL53L4CX,gVL53L4CX,False,False,gVL53L4CX = new VL53L4CX();
