name,cls,file,line,refs
cmd_g2init,,ho/G2_Glasses.cpp,11755,2
cmd_g2deinit,,ho/G2_Glasses.cpp,11760,2
cmd_g2battery,,ho/G2_Glasses.cpp,11766,2
cmd_g2mic,,ho/G2_Glasses.cpp,11792,2
cmd_g2streamres,,ho/G2_Glasses.cpp,11817,2
cmd_g2packrate,,ho/G2_Glasses.cpp,11856,2
cmd_g2streamtonemap,,ho/G2_Glasses.cpp,11884,2
cmd_g2nav,,ho/G2_Glasses.cpp,11907,2
cmd_g2verbose,,ho/G2_Glasses.cpp,11920,2
cmd_g2hijacktest,,ho/G2_Glasses.cpp,11934,2
cmd_g2recover,,ho/G2_Glasses.cpp,11946,2
cmd_g2reopen,,ho/G2_Glasses.cpp,11975,2
cmd_g2dumpframes,,ho/G2_Glasses.cpp,11988,2
bmp4bppFileBytesU32,,ho/G2_Glasses.cpp,12092,2
g2BmpViewerWorker,,ho/G2_Glasses.cpp,13807,2
g2CameraViewerWorker,,ho/G2_Glasses.cpp,14143,2
g2CameraStreamWorker,,ho/G2_Glasses.cpp,14305,2
g2BmpFullViewerWorker,,ho/G2_Glasses.cpp,14853,2
g2JpgViewerWorker,,ho/G2_Glasses.cpp,15233,2
g2JpgFullViewerWorker,,ho/G2_Glasses.cpp,15324,2
g2HijackInternalCallback,,ho/G2_HijackCmd.cpp,74,2
nextState,,ho/G2_HijackFsm.cpp,70,2
fsmWorkerTask,,ho/G2_HijackFsm.cpp,265,2
framesizeLabel,,ho/G2_Page_CameraSettings.cpp,64,2
writeSetting,,ho/G2_Page_CameraSettings.cpp,194,2
cycleDenoise,,ho/G2_Page_CameraSettings.cpp,229,2
cycleQuality,,ho/G2_Page_CameraSettings.cpp,238,2
cycleFramesize,,ho/G2_Page_CameraSettings.cpp,247,2
fmtFramesize,,ho/G2_Page_CameraSettings.cpp,275,2
kSettingsIndexForSubRow,,ho/G2_Page_CameraSettings.cpp,344,2
handleTopTap,,ho/G2_Page_CameraSettings.cpp,583,2
handleResolutionPickerTap,,ho/G2_Page_CameraSettings.cpp,655,2
handleStreamPickerTap,,ho/G2_Page_CameraSettings.cpp,683,2
countInboxAll,,ho/G2_Page_ESPNow.cpp,136,2
countInboxForPeer,,ho/G2_Page_ESPNow.cpp,148,2
chatLogicalLine,,ho/G2_Page_ESPNow.cpp,176,2
formatPingRow,,ho/G2_Page_ESPNow.cpp,389,2
findBondSensorEntry,,ho/G2_Page_ESPNow.cpp,556,2
chatAppendWrapped,,ho/G2_Page_ESPNow.cpp,686,2
chatEstBytes,,ho/G2_Page_ESPNow.cpp,705,2
chatSplitPages,,ho/G2_Page_ESPNow.cpp,720,2
submitForgetSelectedPeer,,ho/G2_Page_ESPNow.cpp,927,2
submitToggleEspNow,,ho/G2_Page_ESPNow.cpp,951,2
sendTypedToPeerCommit,,ho/G2_Page_ESPNow.cpp,968,2
broadcastTypedCommit,,ho/G2_Page_ESPNow.cpp,977,2
handlePeersTap,,ho/G2_Page_ESPNow.cpp,1030,2
handlePeerDetailTap,,ho/G2_Page_ESPNow.cpp,1049,2
handleBroadcastTap,,ho/G2_Page_ESPNow.cpp,1112,2
handleStatsTap,,ho/G2_Page_ESPNow.cpp,1141,2
handleBondSensorsTap,,ho/G2_Page_ESPNow.cpp,1150,2
handleBondDetailTap,,ho/G2_Page_ESPNow.cpp,1171,2
handleInboxTap,,ho/G2_Page_ESPNow.cpp,1182,2
handlePeerInboxTap,,ho/G2_Page_ESPNow.cpp,1199,2
isBmpFilename,,ho/G2_Page_Files.cpp,254,2
isJpgFilename,,ho/G2_Page_Files.cpp,271,2
isJsonFilename,,ho/G2_Page_Files.cpp,298,2
showWiFiStatusPage,,ho/G2_Page_Network.cpp,265,2
showWiFiScanningPlaceholder,,ho/G2_Page_Network.cpp,314,2
showScanResults,,ho/G2_Page_Network.cpp,328,2
showWiFiSavedActionMenu,,ho/G2_Page_Network.cpp,391,2
triggerRingReconnect,,ho/G2_Page_Network.cpp,514,2
triggerRingDisconnect,,ho/G2_Page_Network.cpp,551,2
networkScanWorker,,ho/G2_Page_Network.cpp,831,2
spawnNetworkScanWorker,,ho/G2_Page_Network.cpp,837,2
backToHijackMain,,ho/G2_Page_Network.cpp,864,2
handleWiFiTap,,ho/G2_Page_Network.cpp,1070,2
handleWiFiStatusTap,,ho/G2_Page_Network.cpp,1220,2
handleWiFiScanTap,,ho/G2_Page_Network.cpp,1224,2
handleWiFiSavedTap,,ho/G2_Page_Network.cpp,1242,2
handleWiFiSavedActionTap,,ho/G2_Page_Network.cpp,1254,2
espnowNameCommit,,ho/G2_Page_Network.cpp,1309,2
espnowNameCancel,,ho/G2_Page_Network.cpp,1330,2
handleEspNowTap,,ho/G2_Page_Network.cpp,1336,2
handleEspNowDevsTap,,ho/G2_Page_Network.cpp,1432,2
handleBluetoothG2Tap,,ho/G2_Page_Network.cpp,1461,2
handleBluetoothR1Tap,,ho/G2_Page_Network.cpp,1529,2
handleBluetoothTap,,ho/G2_Page_Network.cpp,1590,2
handleHttpTap,,ho/G2_Page_Network.cpp,1855,2
buildConfirmRows,,ho/G2_Page_Power.cpp,76,2
doRestart,,ho/G2_Page_Power.cpp,104,2
doPowerOff,,ho/G2_Page_Power.cpp,114,2
imuG2FormatValue,,ho/G2_Page_Sensors.cpp,102,2
tofG2FormatValue,,ho/G2_Page_Sensors.cpp,118,2
thermalG2FormatValue,,ho/G2_Page_Sensors.cpp,135,2
apdsG2FormatValue,,ho/G2_Page_Sensors.cpp,151,2
gamepadG2FormatValue,,ho/G2_Page_Sensors.cpp,166,2
anoG2FormatValue,,ho/G2_Page_Sensors.cpp,176,2
rtcG2FormatValue,,ho/G2_Page_Sensors.cpp,185,2
gpsG2FormatValue,,ho/G2_Page_Sensors.cpp,205,2
presenceG2FormatValue,,ho/G2_Page_Sensors.cpp,224,2
fmG2FormatValue,,ho/G2_Page_Sensors.cpp,241,2
formatListRow,,ho/G2_Page_Sensors.cpp,512,2
sensorRuntimeCmd,,ho/G2_Page_Sensors.cpp,744,2
sensorAutostartCmd,,ho/G2_Page_Sensors.cpp,757,2
g2BuildGamepadArt,,ho/G2_Page_Sensors.cpp,781,2
g2BuildAnoArt,,ho/G2_Page_Sensors.cpp,863,2
g2BuildRtcReadout,,ho/G2_Page_Sensors.cpp,917,2
g2BuildImuReadout,,ho/G2_Page_Sensors.cpp,937,2
g2BuildTofReadout,,ho/G2_Page_Sensors.cpp,956,2
g2BuildApdsReadout,,ho/G2_Page_Sensors.cpp,972,2
g2BuildGpsReadout,,ho/G2_Page_Sensors.cpp,989,2
g2BuildPresenceReadout,,ho/G2_Page_Sensors.cpp,1010,2
g2BuildFmReadout,,ho/G2_Page_Sensors.cpp,1028,2
g2SensorsOnCameraPowerDone,,ho/G2_Page_Sensors.cpp,1509,2
writeViewToggleRow,,ho/G2_Page_Settings.cpp,109,2
formatSettingValue,,ho/G2_Page_Settings.cpp,120,2
moduleIdxFromTap,,ho/G2_Page_Settings.cpp,233,2
showModuleJsonViaTextWidget,,ho/G2_Page_Settings.cpp,485,2
aiWorker,,ho/G2_Page_TestSuite.cpp,475,2
imgProbeWorker,,ho/G2_Page_TestSuite.cpp,1011,2
imgProbeWorkerInternalStack,,ho/G2_Page_TestSuite.cpp,1021,2
runDisplayTextVariant,,ho/G2_Page_TestSuite.cpp,1625,2
runDisplayListVariant,,ho/G2_Page_TestSuite.cpp,1638,2
buildCharsAsciiPayloadRows,,ho/G2_Page_TestSuite.cpp,1758,2
buildCharsUnicodePayloadRows,,ho/G2_Page_TestSuite.cpp,1763,2
buildAIRows,,ho/G2_Page_TestSuite.cpp,1773,2
buildPayloadRows,,ho/G2_Page_TestSuite.cpp,1805,2
buildTextEntryText,,ho/G2_Page_TextEntry.cpp,86,2
finishCommit,,ho/G2_Page_TextEntry.cpp,118,2
finishCancel,,ho/G2_Page_TextEntry.cpp,129,2
ringExtractTelemetryCache,,ho/G2_Ring.cpp,179,2
ringDumpFrame,,ho/G2_Ring.cpp,373,2
ringRunStandardSetup,,ho/G2_Ring.cpp,494,2
onResult,,ho/G2_Ring.cpp,604,2
ringSpoofTaskBody,,ho/G2_Ring.cpp,1093,2
